tanggal,jenis_transaksi,kategori_transaksi,jumlah,keterangan
2024-01-13,Pengeluaran,gaji,19244,Pengeluaran - gaji
2024-04-13,Pemasukan,penjualan,32831,Pemasukan - penjualan
2024-08-02,Pengeluaran,gaji,268578,Pengeluaran - gaji
2024-02-13,Pengeluaran,bahan baku,231477,Pengeluaran - bahan baku
2024-12-01,Pengeluaran,gaji,246866,Pengeluaran - gaji
2024-03-28,Pemasukan,penjualan,132166,Pemasukan - penjualan
2024-11-29,Pemasukan,penjualan,474431,Pemasukan - penjualan
2024-11-23,Pengeluaran,perlengkapan,191814,Pengeluaran - perlengkapan
2024-01-17,Pengeluaran,transportasi,48352,Pengeluaran - transportasi
2024-03-24,Pengeluaran,listrik,240297,Pengeluaran - listrik
2024-12-06,Pengeluaran,perlengkapan,447640,Pengeluaran - perlengkapan
2024-07-09,Pemasukan,penjualan,189910,Pemasukan - penjualan
2024-09-16,Pemasukan,penjualan,99384,Pemasukan - penjualan
2024-08-15,Pengeluaran,listrik,449845,Pengeluaran - listrik
2024-09-05,Pemasukan,penjualan,59012,Pemasukan - penjualan
2024-07-27,Pemasukan,penjualan,151804,Pemasukan - penjualan
2024-10-27,Pengeluaran,bahan baku,440396,Pengeluaran - bahan baku
2024-06-18,Pemasukan,penjualan,245190,Pemasukan - penjualan
2024-04-03,Pengeluaran,bahan baku,121535,Pengeluaran - bahan baku
2024-12-29,Pemasukan,penjualan,474558,Pemasukan - penjualan
2024-10-05,Pengeluaran,gaji,366836,Pengeluaran - gaji
2024-04-05,Pemasukan,penjualan,87149,Pemasukan - penjualan
2024-05-14,Pengeluaran,bahan baku,77730,Pengeluaran - bahan baku
2024-12-18,Pemasukan,penjualan,68349,Pemasukan - penjualan
2024-11-23,Pemasukan,penjualan,468149,Pemasukan - penjualan
2024-05-08,Pengeluaran,bahan baku,429136,Pengeluaran - bahan baku
2024-07-17,Pemasukan,penjualan,280197,Pemasukan - penjualan
2024-08-08,Pengeluaran,bahan baku,465238,Pengeluaran - bahan baku
2024-03-02,Pemasukan,penjualan,182556,Pemasukan - penjualan
2024-11-08,Pemasukan,penjualan,197075,Pemasukan - penjualan
2024-12-07,Pemasukan,penjualan,222019,Pemasukan - penjualan
2024-11-17,Pengeluaran,perlengkapan,216087,Pengeluaran - perlengkapan
2024-03-18,Pengeluaran,perlengkapan,422803,Pengeluaran - perlengkapan
2024-05-18,Pengeluaran,transportasi,342087,Pengeluaran - transportasi
2024-02-15,Pengeluaran,gaji,189193,Pengeluaran - gaji
2024-08-07,Pemasukan,penjualan,103687,Pemasukan - penjualan
2024-10-25,Pengeluaran,listrik,278536,Pengeluaran - listrik
2024-01-17,Pengeluaran,bahan baku,152523,Pengeluaran - bahan baku
2024-08-23,Pengeluaran,transportasi,179535,Pengeluaran - transportasi
2024-04-04,Pengeluaran,listrik,21617,Pengeluaran - listrik
2024-05-17,Pemasukan,penjualan,282644,Pemasukan - penjualan
2024-11-30,Pemasukan,penjualan,75904,Pemasukan - penjualan
2024-12-24,Pengeluaran,transportasi,443770,Pengeluaran - transportasi
2024-09-07,Pemasukan,penjualan,128142,Pemasukan - penjualan
2024-07-18,Pengeluaran,perlengkapan,345379,Pengeluaran - perlengkapan
2024-07-27,Pemasukan,penjualan,251304,Pemasukan - penjualan
2024-02-17,Pemasukan,penjualan,370577,Pemasukan - penjualan
2024-04-30,Pemasukan,penjualan,229938,Pemasukan - penjualan
2024-05-16,Pengeluaran,gaji,64510,Pengeluaran - gaji
2024-10-04,Pengeluaran,gaji,232052,Pengeluaran - gaji
2024-06-15,Pemasukan,penjualan,190663,Pemasukan - penjualan
2024-10-28,Pengeluaran,listrik,446272,Pengeluaran - listrik
2024-10-30,Pengeluaran,listrik,491502,Pengeluaran - listrik
2024-03-30,Pengeluaran,listrik,153128,Pengeluaran - listrik
2024-12-09,Pemasukan,penjualan,370467,Pemasukan - penjualan
2024-08-17,Pengeluaran,listrik,62432,Pengeluaran - listrik
2024-06-03,Pemasukan,penjualan,123972,Pemasukan - penjualan
2024-04-29,Pemasukan,penjualan,38456,Pemasukan - penjualan
2024-01-29,Pemasukan,penjualan,266118,Pemasukan - penjualan
2024-06-16,Pemasukan,penjualan,70810,Pemasukan - penjualan
2024-11-15,Pengeluaran,bahan baku,336934,Pengeluaran - bahan baku
2024-01-07,Pemasukan,penjualan,48875,Pemasukan - penjualan
2024-05-02,Pengeluaran,perlengkapan,167724,Pengeluaran - perlengkapan
2024-03-03,Pemasukan,penjualan,55295,Pemasukan - penjualan
2024-08-09,Pengeluaran,perlengkapan,437087,Pengeluaran - perlengkapan
2024-11-24,Pemasukan,penjualan,27950,Pemasukan - penjualan
2024-01-11,Pengeluaran,perlengkapan,195341,Pengeluaran - perlengkapan
2024-06-14,Pengeluaran,bahan baku,332241,Pengeluaran - bahan baku
2024-03-16,Pemasukan,penjualan,241662,Pemasukan - penjualan
2024-05-10,Pengeluaran,perlengkapan,408167,Pengeluaran - perlengkapan
2024-04-16,Pemasukan,penjualan,325079,Pemasukan - penjualan
2024-10-10,Pemasukan,penjualan,48296,Pemasukan - penjualan
2024-01-30,Pemasukan,penjualan,459240,Pemasukan - penjualan
2024-07-23,Pemasukan,penjualan,113670,Pemasukan - penjualan
2024-03-09,Pengeluaran,gaji,378299,Pengeluaran - gaji
2024-01-27,Pengeluaran,transportasi,457870,Pengeluaran - transportasi
2024-11-03,Pemasukan,penjualan,296497,Pemasukan - penjualan
2024-12-15,Pengeluaran,bahan baku,301514,Pengeluaran - bahan baku
2024-07-06,Pengeluaran,gaji,218009,Pengeluaran - gaji
2024-08-30,Pemasukan,penjualan,17486,Pemasukan - penjualan
2024-08-25,Pengeluaran,listrik,139361,Pengeluaran - listrik
2024-01-13,Pemasukan,penjualan,123429,Pemasukan - penjualan
2024-09-11,Pengeluaran,gaji,192993,Pengeluaran - gaji
2024-11-16,Pengeluaran,listrik,114149,Pengeluaran - listrik
2024-01-18,Pengeluaran,transportasi,218778,Pengeluaran - transportasi
2024-05-16,Pengeluaran,transportasi,241299,Pengeluaran - transportasi
2024-02-27,Pemasukan,penjualan,136985,Pemasukan - penjualan
2024-02-02,Pemasukan,penjualan,161570,Pemasukan - penjualan
2024-07-15,Pengeluaran,listrik,276509,Pengeluaran - listrik
2024-02-07,Pengeluaran,bahan baku,464989,Pengeluaran - bahan baku
2024-05-09,Pengeluaran,perlengkapan,254422,Pengeluaran - perlengkapan
2024-01-31,Pengeluaran,gaji,204303,Pengeluaran - gaji
2024-04-10,Pengeluaran,transportasi,178153,Pengeluaran - transportasi
2024-09-12,Pemasukan,penjualan,390029,Pemasukan - penjualan
2024-07-19,Pengeluaran,bahan baku,209429,Pengeluaran - bahan baku
2024-05-27,Pemasukan,penjualan,169748,Pemasukan - penjualan
2024-11-27,Pemasukan,penjualan,379942,Pemasukan - penjualan
2024-12-01,Pemasukan,penjualan,155146,Pemasukan - penjualan
2024-07-07,Pemasukan,penjualan,198336,Pemasukan - penjualan
2024-09-11,Pemasukan,penjualan,281902,Pemasukan - penjualan
2024-07-13,Pengeluaran,bahan baku,343199,Pengeluaran - bahan baku
2024-03-04,Pengeluaran,transportasi,73117,Pengeluaran - transportasi
2024-10-22,Pengeluaran,perlengkapan,260927,Pengeluaran - perlengkapan
2024-12-01,Pengeluaran,transportasi,180417,Pengeluaran - transportasi
2024-10-01,Pemasukan,penjualan,431153,Pemasukan - penjualan
2024-10-31,Pemasukan,penjualan,48584,Pemasukan - penjualan
2024-03-17,Pemasukan,penjualan,455993,Pemasukan - penjualan
2024-07-07,Pengeluaran,bahan baku,154387,Pengeluaran - bahan baku
2024-01-17,Pengeluaran,bahan baku,250250,Pengeluaran - bahan baku
2024-11-04,Pengeluaran,bahan baku,375496,Pengeluaran - bahan baku
2024-10-22,Pengeluaran,perlengkapan,435970,Pengeluaran - perlengkapan
2024-10-25,Pemasukan,penjualan,155085,Pemasukan - penjualan
2024-02-03,Pemasukan,penjualan,203132,Pemasukan - penjualan
2024-11-24,Pemasukan,penjualan,208896,Pemasukan - penjualan
2024-11-29,Pengeluaran,gaji,353082,Pengeluaran - gaji
2024-07-05,Pemasukan,penjualan,127512,Pemasukan - penjualan
2024-12-29,Pengeluaran,bahan baku,357918,Pengeluaran - bahan baku
2024-06-23,Pengeluaran,listrik,179529,Pengeluaran - listrik
2024-11-04,Pengeluaran,bahan baku,124281,Pengeluaran - bahan baku
2024-12-26,Pengeluaran,perlengkapan,55712,Pengeluaran - perlengkapan
2024-06-16,Pengeluaran,transportasi,396111,Pengeluaran - transportasi
2024-08-13,Pengeluaran,listrik,404806,Pengeluaran - listrik
2024-01-12,Pemasukan,penjualan,225568,Pemasukan - penjualan
2024-08-09,Pemasukan,penjualan,380149,Pemasukan - penjualan
2024-01-25,Pengeluaran,bahan baku,352499,Pengeluaran - bahan baku
2024-10-29,Pemasukan,penjualan,478542,Pemasukan - penjualan
2024-07-30,Pemasukan,penjualan,118720,Pemasukan - penjualan
2024-01-01,Pemasukan,penjualan,46038,Pemasukan - penjualan
2024-10-29,Pengeluaran,transportasi,361023,Pengeluaran - transportasi
2024-05-15,Pengeluaran,bahan baku,52221,Pengeluaran - bahan baku
2024-12-31,Pengeluaran,gaji,422353,Pengeluaran - gaji
2024-10-30,Pemasukan,penjualan,84894,Pemasukan - penjualan
2024-07-26,Pengeluaran,bahan baku,433327,Pengeluaran - bahan baku
2024-11-30,Pengeluaran,listrik,219912,Pengeluaran - listrik
2024-03-10,Pengeluaran,transportasi,192655,Pengeluaran - transportasi
2024-10-12,Pemasukan,penjualan,496139,Pemasukan - penjualan
2024-07-03,Pemasukan,penjualan,273308,Pemasukan - penjualan
2024-09-19,Pengeluaran,bahan baku,99466,Pengeluaran - bahan baku
2024-11-15,Pemasukan,penjualan,372309,Pemasukan - penjualan
2024-07-18,Pengeluaran,gaji,145870,Pengeluaran - gaji
2024-10-01,Pengeluaran,bahan baku,478126,Pengeluaran - bahan baku
2024-10-22,Pemasukan,penjualan,62768,Pemasukan - penjualan
2024-06-09,Pemasukan,penjualan,139045,Pemasukan - penjualan
2024-03-01,Pengeluaran,gaji,63486,Pengeluaran - gaji
2024-01-17,Pemasukan,penjualan,162813,Pemasukan - penjualan
2024-04-27,Pemasukan,penjualan,355116,Pemasukan - penjualan
2024-04-13,Pengeluaran,bahan baku,486923,Pengeluaran - bahan baku
2024-08-15,Pemasukan,penjualan,165665,Pemasukan - penjualan
2024-04-05,Pemasukan,penjualan,257721,Pemasukan - penjualan
2024-06-29,Pemasukan,penjualan,211186,Pemasukan - penjualan
2024-03-24,Pengeluaran,bahan baku,243027,Pengeluaran - bahan baku
2024-08-04,Pemasukan,penjualan,234447,Pemasukan - penjualan
2024-02-03,Pengeluaran,gaji,451473,Pengeluaran - gaji
2024-03-27,Pemasukan,penjualan,192457,Pemasukan - penjualan
2024-04-23,Pengeluaran,gaji,493045,Pengeluaran - gaji
2024-07-18,Pengeluaran,gaji,61467,Pengeluaran - gaji
2024-01-04,Pemasukan,penjualan,46552,Pemasukan - penjualan
2024-03-16,Pengeluaran,listrik,402076,Pengeluaran - listrik
2024-03-17,Pengeluaran,bahan baku,195151,Pengeluaran - bahan baku
2024-03-23,Pengeluaran,gaji,206775,Pengeluaran - gaji
2024-10-03,Pemasukan,penjualan,126323,Pemasukan - penjualan
2024-08-24,Pemasukan,penjualan,409488,Pemasukan - penjualan
2024-04-21,Pengeluaran,transportasi,355029,Pengeluaran - transportasi
2024-10-10,Pengeluaran,perlengkapan,117022,Pengeluaran - perlengkapan
2024-06-08,Pengeluaran,transportasi,50861,Pengeluaran - transportasi
2024-09-12,Pemasukan,penjualan,230371,Pemasukan - penjualan
2024-11-11,Pengeluaran,listrik,288391,Pengeluaran - listrik
2024-04-12,Pengeluaran,listrik,151315,Pengeluaran - listrik
2024-11-07,Pemasukan,penjualan,439984,Pemasukan - penjualan
2024-12-30,Pengeluaran,gaji,124194,Pengeluaran - gaji
2024-08-17,Pemasukan,penjualan,110984,Pemasukan - penjualan
2024-01-12,Pemasukan,penjualan,64587,Pemasukan - penjualan
2024-01-16,Pemasukan,penjualan,350975,Pemasukan - penjualan
2024-02-07,Pemasukan,penjualan,467459,Pemasukan - penjualan
2024-12-04,Pengeluaran,transportasi,340787,Pengeluaran - transportasi
2024-05-04,Pengeluaran,listrik,184806,Pengeluaran - listrik
2024-09-30,Pemasukan,penjualan,87765,Pemasukan - penjualan
2024-08-10,Pengeluaran,perlengkapan,437547,Pengeluaran - perlengkapan
2024-01-16,Pemasukan,penjualan,419829,Pemasukan - penjualan
2024-12-20,Pemasukan,penjualan,229061,Pemasukan - penjualan
2024-05-24,Pengeluaran,perlengkapan,172154,Pengeluaran - perlengkapan
2024-06-07,Pengeluaran,gaji,323248,Pengeluaran - gaji
2024-03-27,Pemasukan,penjualan,197310,Pemasukan - penjualan
2024-07-28,Pemasukan,penjualan,290294,Pemasukan - penjualan
2024-09-05,Pemasukan,penjualan,278362,Pemasukan - penjualan
2024-06-23,Pengeluaran,listrik,83109,Pengeluaran - listrik
2024-12-28,Pemasukan,penjualan,374586,Pemasukan - penjualan
2024-01-05,Pengeluaran,transportasi,339532,Pengeluaran - transportasi
2024-12-04,Pengeluaran,gaji,72446,Pengeluaran - gaji
2024-09-27,Pengeluaran,transportasi,180521,Pengeluaran - transportasi
2024-07-17,Pengeluaran,gaji,172498,Pengeluaran - gaji
2024-05-06,Pemasukan,penjualan,48599,Pemasukan - penjualan
2024-03-18,Pemasukan,penjualan,23515,Pemasukan - penjualan
2024-01-30,Pemasukan,penjualan,232385,Pemasukan - penjualan
2024-10-21,Pemasukan,penjualan,114132,Pemasukan - penjualan
2024-08-31,Pengeluaran,transportasi,206243,Pengeluaran - transportasi
2024-02-21,Pemasukan,penjualan,380889,Pemasukan - penjualan
2024-08-30,Pemasukan,penjualan,102748,Pemasukan - penjualan
2024-02-16,Pengeluaran,transportasi,317234,Pengeluaran - transportasi
2024-11-30,Pengeluaran,listrik,106738,Pengeluaran - listrik
2024-09-19,Pemasukan,penjualan,334080,Pemasukan - penjualan
2024-12-24,Pemasukan,penjualan,491488,Pemasukan - penjualan
2024-07-09,Pemasukan,penjualan,410691,Pemasukan - penjualan
2024-11-18,Pemasukan,penjualan,484006,Pemasukan - penjualan
2024-01-05,Pemasukan,penjualan,81106,Pemasukan - penjualan
2024-03-26,Pengeluaran,bahan baku,213643,Pengeluaran - bahan baku
2024-05-05,Pengeluaran,perlengkapan,123358,Pengeluaran - perlengkapan
2024-08-10,Pengeluaran,transportasi,98516,Pengeluaran - transportasi
2024-07-10,Pemasukan,penjualan,65111,Pemasukan - penjualan
2024-09-03,Pemasukan,penjualan,26955,Pemasukan - penjualan
2024-05-08,Pemasukan,penjualan,376771,Pemasukan - penjualan
2024-07-12,Pemasukan,penjualan,189828,Pemasukan - penjualan
2024-03-30,Pemasukan,penjualan,172567,Pemasukan - penjualan
2024-02-03,Pemasukan,penjualan,212086,Pemasukan - penjualan
2024-04-29,Pemasukan,penjualan,234867,Pemasukan - penjualan
2024-02-28,Pengeluaran,perlengkapan,145080,Pengeluaran - perlengkapan
2024-07-25,Pemasukan,penjualan,86690,Pemasukan - penjualan
2024-11-09,Pemasukan,penjualan,141332,Pemasukan - penjualan
2024-04-16,Pengeluaran,listrik,459776,Pengeluaran - listrik
2024-07-02,Pemasukan,penjualan,148780,Pemasukan - penjualan
2024-06-30,Pengeluaran,gaji,33698,Pengeluaran - gaji
2024-11-23,Pemasukan,penjualan,319827,Pemasukan - penjualan
2024-11-11,Pemasukan,penjualan,348642,Pemasukan - penjualan
2024-04-01,Pemasukan,penjualan,372644,Pemasukan - penjualan
2024-11-28,Pemasukan,penjualan,341308,Pemasukan - penjualan
2024-02-05,Pengeluaran,gaji,43402,Pengeluaran - gaji
2024-07-07,Pengeluaran,bahan baku,251584,Pengeluaran - bahan baku
2024-12-15,Pengeluaran,listrik,494765,Pengeluaran - listrik
2024-06-25,Pemasukan,penjualan,220342,Pemasukan - penjualan
2024-04-10,Pemasukan,penjualan,197160,Pemasukan - penjualan
2024-01-13,Pemasukan,penjualan,439132,Pemasukan - penjualan
2024-03-25,Pengeluaran,bahan baku,330809,Pengeluaran - bahan baku
2024-07-24,Pengeluaran,bahan baku,325882,Pengeluaran - bahan baku
2024-02-18,Pemasukan,penjualan,90801,Pemasukan - penjualan
2024-02-19,Pemasukan,penjualan,16657,Pemasukan - penjualan
2024-02-27,Pengeluaran,perlengkapan,76184,Pengeluaran - perlengkapan
2024-10-30,Pengeluaran,transportasi,194749,Pengeluaran - transportasi
2024-05-21,Pemasukan,penjualan,227939,Pemasukan - penjualan
2024-01-17,Pemasukan,penjualan,487587,Pemasukan - penjualan
2024-04-15,Pengeluaran,perlengkapan,292090,Pengeluaran - perlengkapan
2024-08-22,Pemasukan,penjualan,41328,Pemasukan - penjualan
2024-11-03,Pengeluaran,listrik,43513,Pengeluaran - listrik
2024-06-07,Pemasukan,penjualan,217337,Pemasukan - penjualan
2024-07-26,Pengeluaran,listrik,204134,Pengeluaran - listrik
2024-06-01,Pemasukan,penjualan,374816,Pemasukan - penjualan
2024-09-13,Pengeluaran,transportasi,334185,Pengeluaran - transportasi
2024-03-15,Pengeluaran,perlengkapan,97458,Pengeluaran - perlengkapan
2024-07-12,Pengeluaran,listrik,396443,Pengeluaran - listrik
2024-10-01,Pengeluaran,listrik,66224,Pengeluaran - listrik
2024-11-25,Pemasukan,penjualan,16843,Pemasukan - penjualan
2024-02-29,Pengeluaran,perlengkapan,92837,Pengeluaran - perlengkapan
2024-09-20,Pengeluaran,listrik,290346,Pengeluaran - listrik
2024-09-21,Pengeluaran,listrik,477199,Pengeluaran - listrik
2024-11-07,Pengeluaran,listrik,133657,Pengeluaran - listrik
2024-01-11,Pengeluaran,transportasi,241023,Pengeluaran - transportasi
2024-08-30,Pemasukan,penjualan,383765,Pemasukan - penjualan
2024-09-23,Pengeluaran,gaji,438945,Pengeluaran - gaji
2024-02-24,Pemasukan,penjualan,473940,Pemasukan - penjualan
2024-08-11,Pengeluaran,perlengkapan,438170,Pengeluaran - perlengkapan
2024-06-08,Pemasukan,penjualan,194630,Pemasukan - penjualan
2024-09-17,Pemasukan,penjualan,431973,Pemasukan - penjualan
2024-10-25,Pengeluaran,listrik,238323,Pengeluaran - listrik
2024-05-13,Pemasukan,penjualan,338575,Pemasukan - penjualan
2024-07-05,Pengeluaran,bahan baku,100842,Pengeluaran - bahan baku
2024-02-09,Pemasukan,penjualan,484772,Pemasukan - penjualan
2024-03-08,Pemasukan,penjualan,51022,Pemasukan - penjualan
2024-01-03,Pemasukan,penjualan,27410,Pemasukan - penjualan
2024-10-16,Pemasukan,penjualan,94736,Pemasukan - penjualan
2024-11-01,Pemasukan,penjualan,396865,Pemasukan - penjualan
2024-09-05,Pemasukan,penjualan,15308,Pemasukan - penjualan
2024-09-02,Pengeluaran,perlengkapan,410192,Pengeluaran - perlengkapan
2024-01-04,Pemasukan,penjualan,166864,Pemasukan - penjualan
2024-07-21,Pemasukan,penjualan,383700,Pemasukan - penjualan
2024-12-01,Pengeluaran,transportasi,431540,Pengeluaran - transportasi
2024-03-22,Pengeluaran,perlengkapan,441209,Pengeluaran - perlengkapan
2024-01-14,Pemasukan,penjualan,364043,Pemasukan - penjualan
2024-01-16,Pemasukan,penjualan,499800,Pemasukan - penjualan
2024-07-27,Pengeluaran,bahan baku,87430,Pengeluaran - bahan baku
2024-06-17,Pemasukan,penjualan,57933,Pemasukan - penjualan
2024-03-25,Pemasukan,penjualan,26178,Pemasukan - penjualan
2024-01-24,Pemasukan,penjualan,487347,Pemasukan - penjualan
2024-11-08,Pengeluaran,transportasi,421738,Pengeluaran - transportasi
2024-10-16,Pengeluaran,perlengkapan,266467,Pengeluaran - perlengkapan
2024-12-11,Pemasukan,penjualan,142932,Pemasukan - penjualan
2024-12-20,Pemasukan,penjualan,128697,Pemasukan - penjualan
2024-02-28,Pemasukan,penjualan,106511,Pemasukan - penjualan
2024-08-13,Pemasukan,penjualan,321537,Pemasukan - penjualan
2024-10-21,Pemasukan,penjualan,443398,Pemasukan - penjualan
2024-02-21,Pemasukan,penjualan,409144,Pemasukan - penjualan
2024-08-06,Pengeluaran,listrik,401367,Pengeluaran - listrik
2024-02-06,Pengeluaran,listrik,152302,Pengeluaran - listrik
2024-09-14,Pengeluaran,gaji,93490,Pengeluaran - gaji
2024-02-26,Pemasukan,penjualan,404401,Pemasukan - penjualan
2024-04-29,Pemasukan,penjualan,261772,Pemasukan - penjualan
2024-09-17,Pengeluaran,gaji,498792,Pengeluaran - gaji
2024-01-01,Pemasukan,penjualan,122669,Pemasukan - penjualan
2024-06-11,Pemasukan,penjualan,136581,Pemasukan - penjualan
2024-09-18,Pengeluaran,gaji,199191,Pengeluaran - gaji
2024-11-20,Pengeluaran,perlengkapan,429702,Pengeluaran - perlengkapan
2024-06-27,Pemasukan,penjualan,139203,Pemasukan - penjualan
2024-05-06,Pengeluaran,gaji,301364,Pengeluaran - gaji
2024-05-18,Pengeluaran,bahan baku,284236,Pengeluaran - bahan baku
2024-02-05,Pemasukan,penjualan,44832,Pemasukan - penjualan
2024-01-06,Pengeluaran,listrik,429228,Pengeluaran - listrik
2024-09-08,Pemasukan,penjualan,11903,Pemasukan - penjualan
2024-04-16,Pengeluaran,gaji,139422,Pengeluaran - gaji
2024-04-16,Pengeluaran,listrik,330200,Pengeluaran - listrik
2024-06-04,Pengeluaran,perlengkapan,82083,Pengeluaran - perlengkapan
2024-03-12,Pengeluaran,gaji,166608,Pengeluaran - gaji
2024-04-06,Pengeluaran,bahan baku,279569,Pengeluaran - bahan baku
2024-07-24,Pengeluaran,transportasi,440876,Pengeluaran - transportasi
2024-01-17,Pengeluaran,listrik,176691,Pengeluaran - listrik
2024-11-01,Pengeluaran,bahan baku,173343,Pengeluaran - bahan baku
2024-06-16,Pemasukan,penjualan,450721,Pemasukan - penjualan
2024-04-15,Pengeluaran,gaji,133084,Pengeluaran - gaji
2024-12-27,Pengeluaran,transportasi,141882,Pengeluaran - transportasi
2024-08-19,Pengeluaran,listrik,101295,Pengeluaran - listrik
2024-01-24,Pemasukan,penjualan,254562,Pemasukan - penjualan
2024-06-17,Pengeluaran,listrik,304974,Pengeluaran - listrik
2024-08-13,Pengeluaran,bahan baku,119288,Pengeluaran - bahan baku
2024-09-11,Pengeluaran,transportasi,264121,Pengeluaran - transportasi
2024-10-17,Pemasukan,penjualan,486865,Pemasukan - penjualan
2024-03-30,Pemasukan,penjualan,69563,Pemasukan - penjualan
2024-09-21,Pengeluaran,perlengkapan,16063,Pengeluaran - perlengkapan
2024-05-20,Pemasukan,penjualan,304464,Pemasukan - penjualan
2024-12-21,Pemasukan,penjualan,62060,Pemasukan - penjualan
2024-01-13,Pemasukan,penjualan,194582,Pemasukan - penjualan
2024-06-07,Pemasukan,penjualan,261037,Pemasukan - penjualan
2024-11-12,Pemasukan,penjualan,266566,Pemasukan - penjualan
2024-03-10,Pengeluaran,transportasi,486499,Pengeluaran - transportasi
2024-04-20,Pengeluaran,perlengkapan,370433,Pengeluaran - perlengkapan
2024-12-08,Pengeluaran,listrik,377739,Pengeluaran - listrik
2024-07-16,Pemasukan,penjualan,123233,Pemasukan - penjualan
2024-06-13,Pengeluaran,transportasi,90682,Pengeluaran - transportasi
2024-06-27,Pemasukan,penjualan,123878,Pemasukan - penjualan
2024-05-17,Pengeluaran,bahan baku,149918,Pengeluaran - bahan baku
2024-11-16,Pemasukan,penjualan,320920,Pemasukan - penjualan
2024-09-06,Pengeluaran,bahan baku,132392,Pengeluaran - bahan baku
2024-11-13,Pengeluaran,listrik,371947,Pengeluaran - listrik
